parallax,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,Jmag_2MASS,Hmag_2MASS,Kmag_2MASS,wise1,wise2,av50
       3.9142894,       11.240386,11.497282 ,10.849898 ,      10.4130,      10.2180,      10.1530,      10.1020,      10.1290,       0.0000000
       2.2107294,       10.206346,10.7074585,9.588497  ,      8.81900,      8.32000,      8.21900,      8.14600,      8.21800,      0.12875154
      0.46691484,       11.063762,11.711672 ,10.323564 ,      9.29900,      8.65800,      8.52500,      8.45100,      8.56400,      0.21648692
       4.4981071,       10.260439,10.531272 ,9.8624325 ,      9.44500,      9.22400,      9.15100,      9.07500,      9.10800,       0.0000000
       2.8366768,       12.061552,12.4146595,11.568553 ,      10.9920,      10.6980,      10.6650,      10.6100,      10.6600,       0.0000000
      0.20642464,       11.052118,11.729076 ,10.288733 ,      9.24900,      8.56000,      8.43600,      8.36100,      8.43200,     0.089578312
       3.7680414,       10.440736,10.673512 ,10.092234 ,      9.69500,      9.50300,      9.50400,      9.45800,      9.48400,       0.0000000
       2.9986796,       10.830246,11.067183 ,10.465887 ,      10.0510,      9.78700,      9.77100,      9.73000,      9.76200,      0.15542450
       2.0935061,       10.105693,10.363681 ,9.735741  ,      9.35400,      9.16700,      9.07800,      9.01500,      9.03100,     0.061938641
       5.0246522,       10.867117,11.200401 ,10.392852 ,      9.81900,      9.52800,      9.47500,      9.41800,      9.45500,      0.13893845
      0.83761567,       10.688644,11.201179 ,9.997492  ,      9.12800,      8.62300,      8.53600,      8.44100,      8.52000,      0.17203701
       2.1538779,       10.582232,10.831036 ,10.203232 ,      9.77800,      9.57000,      9.53200,      9.47700,      9.49100,       0.0000000
      0.96552994,       10.578310,11.153562 ,9.894893  ,      8.97800,      8.47000,      8.31800,      8.24700,      8.34100,      0.20978733
       5.8644416,       9.8511790,10.140476 ,9.440559  ,      8.97200,      8.76300,      8.70700,      8.64000,      8.69400,     0.092851364
       1.4787365,       9.9902320,10.735401 ,9.19321   ,      8.09200,      7.46400,      7.26800,      7.17100,      7.31100,      0.49979764
      0.98006982,       11.080500,11.665865 ,10.385454 ,      9.47100,      8.93100,      8.78200,      8.67000,      8.80300,      0.26331033
       1.0508408,       10.909431,11.457011 ,10.240078 ,      9.37400,      8.84500,      8.75100,      8.65600,      8.73000,      0.45969621
       3.9667276,       10.534408,10.8448305,10.089766 ,      9.60300,      9.33000,      9.25400,      9.23200,      9.27200,       0.0000000
      0.69120550,       11.193526,11.768644 ,10.508257 ,      9.60200,      9.05900,      8.94400,      8.85300,      8.97100,      0.12493738
      0.71193482,       10.380173,11.10738  ,9.583301  ,      8.48700,      7.83600,      7.61700,      7.47300,      7.67800,      0.35524373
       2.2107109,       12.079809,12.490661 ,11.514459 ,      10.8330,      10.4670,      10.3970,      10.3320,      10.3620,     0.077045687
       1.2288650,       10.519641,11.082899 ,9.839302  ,      8.95500,      8.40200,      8.28400,      8.20800,      8.30800,      0.18128148
       7.2074639,       10.619348,11.017207 ,10.090938 ,      9.53600,      9.16800,      9.08100,      9.04400,      9.10800,       0.0000000
       2.7051169,       11.403502,11.731889 ,10.935105 ,      10.4260,      10.1220,      10.0710,      10.0300,      10.0760,       0.0000000
       1.8983622,       11.088824,11.306021 ,10.744963 ,      10.3640,      10.1030,      10.1500,      10.0730,      10.0850,       0.0000000
      0.56180035,       10.984338,11.690654 ,10.198087 ,      9.10700,      8.41600,      8.25600,      8.17000,      8.26500,      0.31356955
       3.0210818,       9.9775440,10.342931 ,9.472358  ,      8.95100,      8.59200,      8.54100,      8.40300,      8.41600,      0.24601890
       9.8262269,       10.267029,10.69408  ,9.712295  ,      9.04500,      8.70800,      8.62000,      8.54800,      8.60700,      0.21324396
       3.0701450,       11.608715,12.085625 ,10.992764 ,      10.2280,      9.81000,      9.71100,      9.64500,      9.68900,      0.39012840
       2.9532849,       10.619835,11.234764 ,9.903663  ,      8.93900,      8.39300,      8.26900,      8.15600,      8.24300,      0.44861803
       1.9111245,       11.432750,11.706791 ,11.012605 ,      10.5220,      10.2770,      10.2170,      10.1790,      10.2090,       0.0000000
       1.8095401,       10.930894,11.213889 ,10.514449 ,      10.0600,      9.83000,      9.76600,      9.72700,      9.74500,       0.0000000
       3.1393259,       10.835399,11.073066 ,10.47035  ,      10.0570,      9.85700,      9.81500,      9.76900,      9.78300,     0.048351077
       2.5089174,       10.576692,10.870123 ,10.154643 ,      9.69200,      9.45600,      9.40400,      9.34500,      9.37200,       0.0000000
      0.76023172,       11.020610,11.622584 ,10.322071 ,      9.39900,      8.84000,      8.72500,      8.61700,      8.75600,      0.25032357
       3.3342219,       11.382939,11.674872 ,10.9536   ,      10.4740,      10.2260,      10.1600,      10.1250,      10.1610,       0.0000000
       4.7759225,       9.6743810,9.883748  ,9.36128   ,      9.04700,      8.86400,      8.80600,      8.75800,      8.77200,       0.0000000
       9.1229869,       11.210369,11.747077 ,10.554039 ,      9.77900,      9.32200,      9.18800,      9.14000,      9.21600,     0.010468999
       1.2921157,       10.680377,11.409044 ,9.883835  ,      8.76900,      8.15200,      7.97100,      7.86200,      8.00900,      0.44154894
       3.6691314,       9.8429985,10.151225 ,9.410487  ,      8.93300,      8.68600,      8.64600,      8.56900,      8.61100,      0.56643235
       1.0164034,       11.350738,11.956337 ,10.632951 ,      9.68500,      9.10100,      8.97900,      8.90100,      8.98700,      0.33998814
       3.2790184,       11.193286,11.463902 ,10.779829 ,      10.3100,      10.0920,      10.0460,      9.99000,      10.0160,       0.0000000
       10.693909,       10.816213,11.316741 ,10.192138 ,      9.45600,      8.99900,      8.91300,      8.83500,      8.90800,       0.0000000
      0.61952771,       10.548457,11.1936865,9.810097  ,      8.79100,      8.18300,      8.02800,      7.93000,      8.06400,      0.22131756
       4.5980375,       10.885250,11.228571 ,10.405564 ,      9.85600,      9.53300,      9.49400,      9.41100,      9.46500,      0.21653677
       9.5176884,       10.819936,11.277578 ,10.232838 ,      9.53100,      9.13000,      9.04100,      8.92200,      8.97800,     0.081402625
       4.4984188,       10.647184,10.941735 ,10.220261 ,      9.75600,      9.49400,      9.43000,      9.38700,      9.42000,      0.12536681
       3.1613105,       10.891528,11.215628 ,10.433742 ,      9.89900,      9.63100,      9.58000,      9.51200,      9.55300,      0.15473187
